voice, stone, expert, square, shade, stream, rock, cheese, cave, canvas, crate, day, jeans, calendar, quilt, sock, boys
statement, 14889, c, 1, 1, 0, -1732, -25, 0, 1, 0.227524, 0.000006, 497, 20785, 3700772, -0.370132, 0
blade, 11, m, 1, 1, 0, -1052482755962380, -134085, 1, 0, 0.007362, 0.003769, 430, 2519048, 9, 32.875221, 5
quicksand, 4005, i, 1, 0, 1, 153009120239725330, -1, 1, 0, 1.315742, -0.000000, 2926, 206066, 12325723, -0.000034, 2e
baby, 0, 3, 1, 0, 1, 11, 215459187, 0, 1, -0.000305, 0.000002, 44, 2336825737, 108, 1.352806, a
knowledge, 4, b, 0, 1, 1, -481049809, 236, 0, 1, -3.471657, 0.022849, 426, 183, 0, -0.000805, fd
baby, 24, P, 1, 0, 1, 744466367963150, -82877, 1, 1, 0.091301, 0.001804, 44, 2336825737, 108, -0.464664, ff
meeting, 84, :, 0, 1, 1, -10599778888014992, 35720, 0, 0, 6404.530342, -0.000000, 522, 817606276, 112428536, -44.684433, f
fall, 4, s, 0, 0, 0, -645017427362, -2896039, 0, 1, -8.863472, 10.004686, 102, 182, 30672181, -0.002411, 0
debt, 3013, g, 0, 0, 1, 8113587251902308544, 5, 0, 1, -760.488411, -0.000049, 15693, 48954094, 111740, 0.006607, 0
waves, 63, L, 1, 1, 0, -39931221219947, -875, 1, 0, -10.618408, 0.000429, 0, 2071881, 4215298078, -0.370106, 1
berry, 538, d, 0, 1, 0, -689050915099287, 314561974, 0, 0, 0.003113, -0.000074, 3, 146, 110153791, 8.810947, 3
breakfast, 192, %, 0, 0, 0, -17302, 994, 1, 1, -0.001770, 0.000000, 44, 1850, 737551765, 1.860611, a9
existence, 266, (, 0, 0, 0, -8153470172151661557, -61, 0, 1, -47.894196, -0.000000, 238, 3592, 103889221, -0.000004, 1a
discovery, 2, 6, 0, 0, 0, 7850, 18123, 1, 0, 0.005882, -0.035942, 211, 5071, 1, 0.000008, 0
authority, 0, &, 1, 1, 0, -1815514, -10641, 1, 1, -63.868912, -0.000058, 246, 61369909, 2018682, -0.005463, ff
income, 30243, :, 0, 1, 0, -449947887960468, -59, 0, 0, -405.133194, 0.000324, 2982, 759, 61976, 0.591339, c8
, 20, G, 1, 0, 0, 25501, 1541294346, 0, 0, -0.000046, -142.955261, 4428, 1996215, 2069147718, 0.000099, fb
education, 523, K, 0, 0, 0, -23485174, -42, 1, 0, 0.001427, 0.000013, 3, 453200, 7369102, -68.786430, 0
receipt, 87, 0, 0, 1, 0, -179431815344390893, 0, 0, 0, -75.744034, -56.528351, 2225, 131, 234335064, 36.676960, f9
condition, 2, P, 0, 0, 1, 191036113463827886, -107451, 0, 0, 0.000084, -0.000042, 33, 1, 622850, -0.000385, df
acoustics, 2018, ], 1, 0, 1, -4, 22308, 0, 0, 4358.769127, -0.937532, 1, 1677, 853018, 0.124691, 9
rainstorm, 9363, c, 1, 1, 0, -18, -53365941, 1, 0, 3.064728, -0.000009, 2773, 79906488, 51, -0.000469, cd
committee, 5973, U, 0, 1, 0, 83540283160, -6697, 0, 1, 0.183083, -0.001176, 5, 246388063, 2015, -0.000095, ff
spot, 1, ~, 1, 0, 1, 68165, 1268265331, 0, 0, 34.476898, -0.000000, 4994, 13, 9622611, -0.175808, af
name, 693, ?, 1, 0, 0, 13376, 98652953, 1, 1, 0.000877, -202.044357, 227, 492122494, 4802, 0.104172, ff
sink, 16071, $, 1, 1, 1, 43512, 3, 0, 0, 0.000618, -1.141989, 27, 96, 59996, 0.000076, c
tendency, 205, O, 1, 1, 1, 38, -1549059, 1, 0, -3601.479591, -0.034427, 2, 954033, 1075666, 0.000164, 26
exchange, 17, X, 0, 1, 0, -191754016176029, -163017835, 0, 1, -10.953621, 0.000002, 19, 1954, 14155, -0.000008, f4
pencil, 0, l, 1, 0, 1, 3734667731557, -204106, 0, 0, 0.481567, -0.134861, 4645, 3562149656, 329, 84.417931, 0
zebra, 8, (, 1, 0, 1, -621994803, 4, 1, 1, 1530.630226, 0.000005, 7, 7, 33079516, -0.000023, 8c
drop, 16293, k, 0, 0, 1, -2358000, 479, 0, 1, 2.738045, 1.932876, 29, 936983, 45962, 0.000000, ff
things, 7, P, 1, 0, 1, 441308, -300251774, 0, 1, 6300.561783, 7.701580, 824, 59, 15222, 0.003464, 4
pleasure, 3, L, 0, 1, 1, 60654380622, 40424345, 0, 1, -0.198082, -0.322257, 265, 17257, 5, 0.000919, 0
secretary, 144, E, 1, 1, 1, 789995, -2729365, 0, 0, 0.000618, -1.141989, 27, 120, 1737244, 0.748352, ff
run, 14, 5, 0, 1, 0, -1077, 776663, 0, 1, -0.000031, 0.000006, 212, 3107, 233399026, 0.355511, f7
answer, 36, +, 0, 0, 0, 528423, 20, 1, 1, 0.826294, -0.003358, 618, 181044, 81713009, 2381.784519, 1
quicksand, 44, Z, 0, 1, 1, 637, -1254, 1, 0, 3.523071, 0.000088, 0, 66649383, 126505, -0.723446, 2
donkey, 61, i, 1, 0, 0, 40378005862985203, -1, 0, 0, 0.000008, -0.000453, 2926, 206066, 100, -0.000034, 2e
soup, 52, #, 1, 1, 0, -9683662, -218985, 0, 1, -1105.674210, -3.228670, 2724, 42971669, 2677, 0.012085, 1
week, 842, A, 1, 0, 1, 633573792475483, -82907, 0, 1, -0.000267, 0.000000, 296, 28, 28, 0.000050, f5
school, 20, G, 1, 1, 1, -5630463774460085, 57256, 1, 0, -0.000107, 0.000257, 32, 1, 9465, 0.005764, 4
vegetable, 0, A, 1, 1, 1, 1265040104681327818, -261267, 0, 1, -1.892799, 0.001629, 28, 8046428, 2443, 531.301918, c7
camp, 57, ;, 0, 1, 1, 1402124904405, 9, 1, 1, 704.004051, 7.162687, 15450, 110735, 15, 0.450832, 2c
secretary, 77, ;, 0, 0, 1, 69, 463290, 0, 1, 0.193634, -44.633938, 43, 330219839, 258767, 142.645176, 0
baseball, 30, z, 1, 0, 0, 4, 14206009, 0, 1, -4644.072136, 0.000000, 2168, 21486917, 1928358, 0.080605, 49
shirt, 4, C, 1, 0, 0, -15746125191022, 13, 0, 1, -0.536530, 3.299566, 22309, 2, 13979, 0.035286, 1e
number, 4, ?, 1, 1, 0, -1792, -111602231, 1, 1, 0.000191, 55.795502, 3576, 6512, 31, -321.649345, ff
stomach, 3, T, 1, 0, 1, -67107797030166195, -565, 1, 1, 13.585236, 0.019080, 8, 111628, 3, -11.834072, 28
sheet, 23, m, 1, 0, 0, -281411428051794, -1949, 1, 0, -945.145660, -0.000000, 25, 9630353, 233044, 0.007069, 1
amusement, 2, s, 0, 1, 0, -8939732895962783499, 216370748, 0, 0, 1493.374008, 0.001572, 0, 10235627, 308296959, -9.605759, f8
coach, 3196, {, 0, 1, 0, -80756550, -27618053, 1, 0, -0.118973, 6.605484, 4, 41433, 954, -0.000317, cd
person, 7, M, 0, 0, 0, -2, -115419, 0, 0, 0.007706, 0.000000, 19220, 15106544, 69203, -0.001251, f9
statement, 5611, l, 0, 1, 1, -977649, -2879, 0, 1, -10.872604, -0.000000, 0, 872269382, 437734524, -0.009701, 3
blade, 6, =, 1, 1, 1, 29133085449517817, -27839, 0, 0, 0.000954, -5.809279, 5643, 96970593, 15787484, 0.000057, de
lift, 0, D, 0, 0, 0, 6028948300, -24, 0, 0, 0.000000, -0.000000, 218, 57, 5249, 0.037785, f4
dinosaurs, 11, g, 1, 0, 1, -49812801067136632, 126828547, 1, 0, -0.881889, -0.000018, 990, 1129088373, 234102, -0.000008, ee
zinc, 1324, x, 1, 0, 1, -8255608285632786, -37, 1, 1, -1.511337, -1.416364, 3618, 1409743, 1, 12.099777, f7
edge, 38, U, 0, 1, 0, -420179188, -1307, 1, 0, -0.858978, -0.000004, 0, 0, 15399, 0.000057, 20
fowl, 387, A, 0, 1, 0, 62678963, -108, 1, 0, -114.903419, -0.029855, 120, 20901518, 879, -0.413395, ef
, 33, [, 1, 0, 0, 3694465569186856, -1, 1, 1, 0.013916, 0.000020, 15843, 51779794, 2805, 0.000027, fe
elbow, 80, 4, 1, 0, 1, -46961, -1517, 1, 0, 0.026085, 0.000000, 27, 107366716, 35, 0.000011, f2
statement, 2, Q, 0, 0, 1, -977649, -28975, 0, 1, -10.872604, -0.000000, 0, 872269382, 593, -0.009701, 3
store, 6, &, 0, 1, 1, 1666612372979, -641314, 0, 1, -0.000023, -1.220503, 14845, 766, 237504341, 0.009480, 17
jail, 4331, ;, 1, 0, 0, -5504393673, -233, 0, 1, -0.089981, -0.008998, 62, 228, 12621012, -5.275555, 0
record, 151, [, 0, 0, 0, 4190764730610390, -254976, 1, 0, -0.003128, 107.572769, 8236, 153, 3013, -0.420418, 0
hook, 4046, 1, 1, 1, 0, 1700535607394, -3, 1, 0, 0.516876, 0.000027, 2129, 3, 1491045, 0.000034, e4
arch, 886, f, 1, 0, 0, -1504112053943916, 22672, 1, 1, -0.011513, -0.000000, 1536, 596417, 1507, 0.210411, fc
pet, 148, T, 1, 0, 0, -778, 3, 0, 1, -0.922562, 0.000055, 31742, 34283213, 503, 83.791855, ce
button, 7, V, 0, 0, 1, -234461, -35, 1, 1, 0.006599, 0.038460, 3, 0, 623, 165.058132, 29
brain, 7811, 7, 1, 0, 1, -109711044059, 80352540, 0, 0, 4.552917, 0.024740, 7, 5519, 6182, 0.000053, f
twig, 10511, D, 0, 1, 0, 1348596073883, 26, 1, 1, 0.000191, -0.021693, 25, 1409743, 404, 1307.242435, fe
hearing, 0, s, 1, 0, 1, -98037307807204180, -9871, 0, 0, 100.265434, 0.032666, 27, 6450750, 866262, 0.099476, 7
base, 17, Z, 0, 1, 0, -1, -400, 1, 1, 0.000534, -1.194797, 0, 579, 1480, 0.424767, 6b
flag, 19, e, 0, 1, 0, -59030508, -904382805, 0, 1, 895.114029, 5.697466, 1, 10000, 5, -1.814568, 0
use, 0, ~, 1, 1, 0, 179646211597252, 19141, 0, 1, 0.001007, 0.541621, 4, 1, 236476055, -0.767990, f8
spoon, 974, w, 1, 1, 1, 218664, -82907, 1, 1, -0.000008, -0.094810, 296, 28, 346962, -0.000767, 19
brass, 28534, G, 0, 0, 1, 174, -28602, 0, 1, 0.000046, 0.001543, 0, 177, 238826, 0.494831, 0
shoe, 432, 9, 0, 0, 0, 892370817559733468, 0, 0, 1, 81.177406, -0.027028, 153, 98752850, 832, -0.000053, 56
heat, 1, U, 0, 0, 1, -1072615042, 0, 0, 0, 228.366859, 0.342299, 156, 159290139, 27442985, 1834.914856, 25
card, 20, j, 0, 1, 0, -47375688, 9, 0, 1, -0.000023, -0.000000, 44143, 16244, 190123260, 1.594753, bc
scarecrow, 293, _, 1, 0, 0, -129764, -1, 1, 0, -79.780762, 0.000019, 383, 1, 121623212, -0.000011, 4
roll, 1260, k, 1, 1, 1, 26876094542524215, -75650893, 0, 0, 2229.173454, 7.487768, 834, 435556859, 429, 0.000000, 27
statement, 29, X, 0, 1, 0, -1847684, -113339, 0, 1, -0.000061, -0.270243, 20844, 140166295, 971555802, -0.000011, ca
regret, 23, Q, 1, 0, 0, -281411428051794, -1949, 0, 0, 1493.374008, -0.000000, 25, 9630353, 308296959, -9.605759, 1
collar, 51431, S, 0, 0, 0, 12, 0, 1, 1, 4883.314301, -0.000001, 0, 24142, 824592783, 0.060337, e3
spiders, 281, k, 0, 1, 0, 617735352269, 703563650, 1, 0, 11.906151, 0.056709, 65, 3775831, 11720, -3114.885063, 0
skin, 6817, ;, 1, 1, 0, 276131557773619, -1, 1, 1, 724.075531, -0.006384, 1, 154354172, 3570618849, -139.272278, e8
mist, 76, z, 0, 1, 0, 812089211235, 19, 0, 1, -0.000092, -0.016721, 5826, 11218073, 1357199, -9.611443, 9
acoustics, 481, {, 1, 1, 0, 3, -3, 1, 1, -3.866974, 0.000570, 7, 91, 19858, 529.744900, 0
show, 59, y, 1, 0, 0, -390302671404777461, -3, 1, 0, 0.907448, -0.051855, 3283, 1626754203, 932795, -0.013210, fb
camp, 1795, %, 1, 0, 0, -13356, -2221055, 1, 1, -0.003983, -0.109699, 2732, 808917296, 6972195, -1.054436, fd
picture, 188, -, 0, 0, 1, 496995371, 70532760, 0, 1, -0.000008, 0.249497, 56, 11, 0, 0.038296, 6
grade, 453, O, 1, 1, 0, 37339208, -551650, 0, 1, -0.012566, -0.627961, 117, 58, 1123631738, 0.000057, 0
cakes, 16, T, 1, 1, 0, 6460420347567, -13006, 1, 0, 0.000069, -11.326686, 6188, 678341566, 3, 0.000000, b
roof, 247, Q, 1, 0, 0, 32698141, 2725, 1, 1, 157.597855, 0.368236, 2, 10753, 299066910, 0.019939, 7d
amusement, 13631, T, 0, 1, 1, -24, 56108065, 0, 0, 0.006325, 0.000120, 10, 4466478, 414095, 0.459980, 1
morning, 3, X, 0, 1, 0, 562093927, 4373862, 0, 0, -6.188644, -0.012473, 99, 457, 354907570, -0.000008, 0
detail, 2, :, 1, 0, 1, 1038919, -478244, 1, 0, -1850.574921, -2.978691, 470, 102304059, 29592, -183.898655, 0
butter, 465, F, 1, 0, 1, -19394876482, -7, 1, 1, -0.000023, -0.000000, 1, 0, 206, -26.627491, e1
ship, 22, s, 1, 0, 0, -30864, 16416676, 1, 1, -0.000008, 0.000000, 6945, 4297, 85, -0.002094, e4
run, 4, [, 0, 0, 1, -23, 339136, 0, 0, 3.141891, -0.000004, 14, 4671, 5237844, 0.000011, 0
operation, 6, Q, 1, 1, 0, 5007955, 40424345, 0, 0, -0.000099, -0.322257, 48, 17257, 30405057, -38.835621, 0
scarecrow, 15, [, 1, 0, 1, -27113244386, -8, 1, 0, 865.897179, 0.070278, 10964, 885, 18703175, -130.494888, 1
vegetable, 0, ), 0, 0, 0, 16548672783055, 64, 1, 1, 0.000534, -1.194797, 0, 717, 2212, 1740.822433, 6b
love, 1392, C, 0, 0, 0, -13, 3, 0, 0, -2.404305, 0.000000, 8778, 10095, 6686682, -0.002789, 2b
ring, 7, ), 0, 0, 1, -124239600571, 40565191, 0, 1, -0.000595, -215.017731, 46591, 1, 27020474, -0.024609, d4
, 23, 6, 1, 0, 0, -2158472837418578, -14, 0, 0, -0.002457, -4.322259, 28329, 173854383, 412937, -0.000233, 63
light, 32, _, 0, 1, 0, 4, -40161006, 1, 1, -21.987564, -1.364512, 643, 17405850, 193, -0.004478, 6
jewel, 1, k, 0, 1, 0, -1, -1, 1, 0, -0.085861, 48.394478, 410, 922, 47703585, 103.985363, f1
, 14, %, 1, 1, 1, -465660521667404, -4525, 0, 1, -1954.378197, 0.000000, 115, 1, 0, -1720.209072, fc
lamp, 12, K, 1, 1, 0, -126, 5572653, 1, 0, 5.073662, 0.000228, 31, 105039983, 9, 0.176071, 9
direction, 6411, u, 1, 0, 0, -18, -3, 1, 0, 0.000183, 0.096190, 13780, 766347318, 117032618, -6.223583, 1
acoustics, 503, M, 1, 0, 1, 0, 258, 0, 0, -0.203896, -44.047264, 26, 2116, 0, 0.037102, e
rhythm, 27203, <, 0, 1, 1, 3917189525741022499, 494, 0, 0, -0.000076, -8.429413, 151, 76256, 23176, 0.039906, 0
popcorn, 3377, B, 1, 1, 0, -270350006195461986, 48698, 1, 1, 126.522133, 2.080339, 13, 59294544, 0, -0.000061, ed
digestion, 23, U, 1, 0, 1, -1072615042, 470566809, 0, 1, 0.031631, 37.965759, 156, 159290139, 5496677, 1834.914856, 0
acoustics, 49, &, 1, 1, 1, -406246962324884967, -1732, 0, 0, -342.280769, 0.137565, 7, 6, 4696, 38.059895, ff
existence, 403, :, 0, 0, 1, 3297809674, -172383, 0, 1, 291.730103, -0.000009, 15070, 2030025, 295112, 0.050930, ff
judge, 6, 2, 1, 0, 1, 14639, -641314, 0, 0, -0.000008, 0.000927, 31580, 766, 35355, -0.053600, e2
angle, 4537, f, 1, 1, 1, 501, -5, 1, 0, 0.210983, 0.000429, 0, 2071881, 667688, 0.000751, 1
record, 11813, N, 0, 0, 0, -944280271729000, 875, 0, 1, -169.426147, 0.000001, 111, 368839199, 10936, -75.337772, 20
brain, 61, ], 0, 1, 1, 104649743, 4, 0, 1, 12.445480, -0.006002, 249, 502572, 449159, 0.002953, f9
friction, 3, %, 0, 1, 1, 135805, 27511, 0, 0, -0.000031, -0.000004, 0, 0, 5, -0.003872, 20
box, 127, $, 0, 0, 0, -760361148, 433022281, 0, 0, 4204.305901, -0.000003, 24, 1796, 533783476, -0.000031, 99
rabbit, 79, H, 0, 1, 0, 122744763250217372, 844798586, 0, 0, 0.000031, 2.696651, 38, 8109, 247134771, -4.603012, 0
oranges, 3, n, 1, 1, 0, -759657269871969283, -266436231, 1, 0, -0.000053, -45.773273, 30302, 1, 8407670, 853.791458, b
design, 1528, n, 1, 1, 0, 62637963, -31043, 1, 1, 0.000679, 0.422668, 11, 260585, 273118, -0.000237, ff
quicksand, 48, %, 0, 1, 0, -56799777090011, 5046692, 0, 1, -0.005470, -102.023682, 8955, 567140, 24940, 0.185276, 79
attention, 8, E, 0, 0, 0, -3871505, -1555680, 0, 0, 0.971046, 0.000002, 25, 368839199, 26841257, -3334.165226, 5
wave, 395, ], 0, 1, 0, 1626265610136192545, 3, 0, 0, 0.000015, -0.003841, 3785, 1251, 151764, -59.051647, f
condition, 20, =, 1, 0, 0, 25501, 1541294346, 0, 0, -0.000046, -142.955261, 4428, 1996215, 2069147718, 0.000099, fb
digestion, 2508, C, 1, 1, 1, -91640, 1700, 0, 0, 0.066078, 0.001462, 19, 246868, 1, 1549.322903, 9
waste, 16005, 5, 1, 0, 0, -412040863267282834, 132428, 0, 0, 5576.178078, -12.446083, 531, 137, 69607, -0.000008, 39
rate, 14, h, 0, 1, 1, 42125667, 1365228, 1, 0, 0.410339, -5.080837, 0, 71397812, 30937984, -0.489380, fa
substance, 109, ), 0, 0, 0, -123202, -10850, 0, 0, -5321.685249, 0.174803, 132, 355499, 2806016, -31.322205, 80
secretary, 144, E, 1, 0, 0, 2584755470, 1, 0, 0, -15.639122, -1.141989, 27, 120, 21181, -21.014729, 0
trick, 2, /, 0, 0, 1, -49339418418, -52, 0, 0, 29.227127, -0.000865, 14253, 117307524, 7701083, -0.109913, 0
, 3, y, 0, 0, 0, -424940080, 799515, 0, 1, -64.740715, 0.025393, 243, 1195, 17422663, 0.133999, 5d
jellyfish, 2758, R, 1, 1, 1, 374, 184030602, 0, 0, -0.364212, 0.005142, 97, 12131, 298626, -0.420361, fa
, 5, u, 1, 0, 0, -2539454, 233496, 0, 1, 7.565399, -0.774134, 31, 1388535719, 1873156183, -0.001801, fa
pet, 376, w, 1, 0, 0, 15625, 3, 1, 1, -0.000008, 0.000055, 31742, 34283213, 503, 13.599918, 12
activity, 37281, @, 1, 1, 0, -273, 638121, 0, 1, 125.804802, 0.039405, 242, 0, 1402096, 24.611710, fc
clam, 15997, :, 1, 0, 0, 59875, -940507144, 1, 0, -0.000008, 0.000003, 22, 21019574, 222522, -3.985443, fe
underwear, 3, [, 1, 1, 1, -3274228879919378, 8, 1, 1, 0.000015, 0.082402, 1834, 127, 134757030, -0.000008, 6
blow, 3148, R, 0, 1, 1, -389203, -23, 1, 0, 0.829498, 0.000000, 48, 9, 33687507, 0.000454, fe
wire, 776, A, 1, 0, 1, -1942941481029, 401725, 1, 0, -17.863678, -0.000001, 2, 344, 9589756, -0.180065, fe
cobweb, 11593, P, 1, 0, 1, 43836294622, -6196723, 0, 1, 0.014870, -7.049623, 3066, 1, 2195913, -0.000896, 2
amusement, 21686, z, 1, 0, 1, 1425449404472829690, 5375, 0, 0, -0.037262, -0.000014, 111, 485753, 2, 228.193417, db
animal, 6, @, 0, 1, 1, -57509908437, 1545, 0, 0, -94.774475, 0.000052, 52385, 53, 182461, 0.000160, 18
frog, 57, F, 1, 0, 0, 4307111513575, 4889140, 0, 0, -0.693550, 0.056697, 3518, 204425, 3217, -6.303699, fe
amusement, 5, v, 1, 0, 1, -3798710760451110673, -993491057, 1, 0, -0.054085, 7.208334, 10, 0, 168108, -0.045162, fd
trade, 1, T, 0, 1, 0, -14018977513, 821881, 1, 1, -3255.562492, 0.003844, 226, 23437471, 850, -100.366947, ff
nest, 2560, 8, 0, 1, 0, 15686090359654089, -391832, 1, 0, -5685.505035, 0.000000, 5, 78, 378092, -0.003429, fe
ice, 66, /, 1, 1, 0, -5, -394, 1, 1, 0.000229, -0.000001, 2, 130383, 131399098, -0.000015, 0
yam, 9301, (, 1, 0, 0, -8317901, 848, 1, 0, 1547.963776, -0.000000, 1994, 2462548415, 28, -0.000198, e1
