voice, stone, expert, square, shade, stream, rock, cheese, cave, canvas, crate, day, jeans, calendar, quilt, sock, boys
chance, 0, ^, 1, 1, 0, 8210407729733306693, 2, 0, 1, -0.001221, 0.000469, 4, 1045612, 5619, -140.744423, fe
family, 1889, P, 1, 1, 0, -2003775404, -128, 0, 1, 0.123573, -0.005945, 12689, 346661, 38, 1844.813671, 52
texture, 6030, {, 1, 0, 0, 51681627, -6, 0, 1, 0.006927, -0.000443, 15435, 16597119, 5006723, 0.000042, 3c
pollution, 8218, (, 0, 1, 1, -543561451578746, 115, 0, 1, 163.016815, 0.004917, 21485, 33, 3445, -0.219215, a
dinner, 14354, d, 1, 0, 0, 330877289712, -1, 0, 0, 7624.856255, -0.000453, 14252, 0, 48, -78.500542, 6c
, 44, z, 0, 1, 1, -551, 30032, 0, 1, 0.006927, -0.003066, 64, 16597119, 11, 77.506622, 3c
mice, 152, R, 1, 1, 0, -570099412196, -33140382, 0, 0, 0.023613, 221.854843, 23, 671, 176808, 6.642860, 6
whip, 5, Q, 0, 0, 0, -50461367033, 6317542, 1, 0, -0.000015, 0.005467, 1, 27243, 30740, 177.150105, 1b
operation, 473, G, 0, 0, 1, -2240, 2, 1, 0, -0.652451, -0.070588, 4540, 107348, 2679, -0.000031, eb
journey, 36, 7, 1, 1, 1, 5, 665617051, 1, 1, 734.322243, -18.686394, 1, 162859289, 1024, -0.000111, 1
join, 1931, }, 0, 1, 1, 34652604988345038, 779, 0, 0, 0.006767, -0.005945, 496, 346661, 7296325, -24.660820, 2d
flight, 7518, /, 1, 1, 0, -2296902623379, -487504590, 1, 1, 1.729897, -0.000339, 11, 4, 245854844, -4.606609, 60
, 137, d, 0, 1, 0, 330877289712, 387838126, 1, 0, -0.001854, -0.000453, 41296, 0, 122619249, -78.500542, 6c
learning, 2588, D, 0, 1, 1, -61370688, 25436573, 0, 0, 5064.182663, 5.774748, 10039, 8672, 23, 58.932167, c2
volcano, 153, 3, 0, 0, 0, -241658, 7309474, 0, 1, -6.282333, 0.000000, 10234, 803878, 1515, -0.000011, f5
act, 18, i, 1, 1, 0, 1148452314804, -3, 0, 1, 8.372772, 127.413872, 2, 952, 3553, 0.000000, fe
fiction, 39104, ;, 0, 1, 0, 38, -237096, 1, 1, -16.288109, -0.000000, 14, 4020947684, 0, 0.000000, ff
journey, 8801, 7, 1, 1, 0, 135621722638, 6506235, 1, 1, 734.322243, 0.003005, 1, 162859289, 1024, -0.000111, fe
flight, 0, /, 1, 1, 0, -2296902623379, -5, 1, 1, -4062.616837, 0.000000, 11, 4, 245854844, -0.000061, 60
flock, 2, 4, 0, 0, 0, -4, -583170226, 0, 1, -0.000031, 1.661441, 3, 9, 3124, -0.013565, ff
flock, 651, 2, 0, 0, 0, -4, 2101028421, 0, 1, -0.000031, 1.661441, 3, 9, 3124, -0.013565, ff
stomach, 2, &, 1, 0, 1, 5, -1187, 0, 1, -2319.191902, -0.000117, 12, 2038, 1431223503, -0.000008, 4
existence, 26552, h, 1, 0, 0, -1429148, -1647287839, 0, 0, 5.391525, 0.001180, 13, 72963, 2991688304, -1269.153614, f
ghost, 4096, Z, 1, 0, 1, -1466450, 3, 1, 1, -832.284645, -0.107333, 1309, 2714488176, 21, -0.012650, 3
flesh, 1, y, 1, 0, 1, -1466450, 3, 1, 1, -832.284645, -0.107333, 1309, 2714488176, 31314012, -0.012650, 3
soap, 113, m, 0, 0, 0, -1429148, -363530, 1, 1, 7171.594673, 0.014989, 1, 72963, 49759, -0.313858, f9
geese, 758, G, 1, 0, 1, 56923264106, -169358613, 0, 0, -0.345070, 0.000000, 0, 298532, 99034914, 3423.690693, 19
flock, 96, V, 0, 1, 0, -4, 652, 1, 0, -5.518333, 0.000813, 3, 9, 3124, 0.053547, ff
aunt, 16198, J, 0, 0, 0, -11, 115, 1, 1, -4308.903397, 175.050079, 5567, 33, 320, -0.000114, ff
insurance, 6030, 7, 1, 1, 0, 0, -12052, 0, 1, 1.496780, -0.000443, 15435, 16597119, 290334, 4032.839546, fd
drum, 48107, P, 1, 0, 0, -235981310667791233, -12064796, 1, 1, 1.000000, -0.940717, 0, 114174347, 14204567, 0.000511, 4
, 235, [, 0, 0, 0, -115460876418, 314242847, 1, 1, -0.000015, -0.000001, 5567, 33, 320, -3379.840824, 0
, 684, 9, 0, 0, 1, -27857273825, -6, 0, 0, 2.547668, -203.843185, 2018, 16597119, 400, 77.506622, 9
secretary, 19, L, 1, 1, 0, 951221, 50, 0, 0, 0.000000, -53.459961, 2, 952, 176808, -0.000103, 6
substance, 0, v, 1, 1, 0, 0, 57198136, 1, 1, -0.082909, 0.000121, 921, 162859289, 0, 0.001183, ff
detail, 866, 2, 0, 0, 1, -1758211989, -2, 1, 0, -0.345070, -0.670564, 209, 298532, 207538, -0.002262, ff
, 113, m, 0, 0, 0, -2240, -236880, 1, 0, -0.652451, 4.644695, 4540, 72963, 49759, -0.000031, eb
church, 48107, F, 1, 0, 0, -235981310667791233, -12052, 1, 1, -0.000008, -0.940717, 0, 114174347, 2994547, 0.000511, 4
butter, 1578, N, 1, 1, 0, -235981310667791233, -913930608, 1, 1, -0.000008, -0.940717, 0, 114174347, 14204567, -0.000053, 4
hole, 7, R, 0, 0, 1, 2290895, -12052, 0, 0, 0.006927, -0.000000, 2, 16597119, 5006723, -0.010132, fd
church, 48107, P, 1, 0, 0, 503, 1889542722, 0, 0, -0.000008, -0.940717, 0, 114174347, 0, 0.000511, 4
substance, 0, ^, 1, 1, 0, 463202721886, 2, 0, 0, -0.059929, 0.000469, 10234, 1045612, 8155936, 142.123325, fe
, 44, 9, 0, 1, 1, -551, 30032, 1, 1, 0.000000, -0.003066, 64, 16597119, 400, -0.001270, 9
dirt, 1889, ^, 0, 1, 0, 5524534630737173118, -128, 1, 0, 0.123573, -0.005945, 496, 346661, 38, 1.504776, 52
existence, 181, J, 1, 0, 1, -61370688, 1117945, 1, 0, 5064.182663, 5.774748, 10039, 5555, 39178840, 2174.141171, c2
chance, 1520, [, 0, 0, 1, -319583054, 2, 0, 1, -0.001900, 0.055381, 5, 1045612, 1, 0.053654, fe
tail, 31225, f, 0, 1, 1, 3055736925543193947, 1, 0, 1, 0.000687, 0.000004, 38, 4, 3927820994, -0.000061, ff
, 2, [, 0, 0, 1, 90290356439549, 59257, 1, 0, 0.113602, 0.000007, 250, 33, 320, 0.053547, 3
existence, 2, &, 0, 0, 1, 37673258465353388, 335742535, 1, 0, -0.005852, -0.074883, 252, 2038, 62486706, -0.000008, 3
fight, 2, d, 0, 0, 0, 2799597432430, -9986986, 1, 0, -915.301743, -0.000001, 1309, 771018809, 1952, 1.000000, 3f
pollution, 16198, D, 1, 0, 1, -4941568030676952277, 115, 0, 1, 163.016815, 0.004917, 2, 33, 1988349, 13.499165, ef
amusement, 21, d, 1, 0, 0, 969, 7309474, 0, 0, -240.839371, -0.002949, 10234, 803878, 221, -494.378380, a5
substance, 1, d, 1, 1, 0, -66909139927, 1, 1, 0, -0.059929, -0.002949, 10234, 803878, 8155936, 142.123325, ff
, 103, [, 0, 0, 0, -11, 59257, 1, 0, 0.113602, 1.000000, 250, 33, 320, 0.000011, f
whip, 5555, |, 0, 0, 0, 698650566, -1, 0, 1, 2040.815796, -0.000119, 112, 27243, 30740, -0.139164, d2
act, 1928, j, 1, 1, 0, -1779907367262978, -3, 0, 0, 8.372772, 127.413872, 2, 952, 3553, -1.493008, ff
transport, 1928, j, 0, 1, 0, -1779907367262978, -1, 1, 1, -0.891228, -0.000000, 3, 2038, 62486706, -1.493008, ff
war, 7518, =, 1, 1, 0, -2296902623379, -23, 0, 1, -0.011841, -0.000339, 35348, 4, 537607, -0.004097, 2d
flowers, 20, f, 1, 1, 0, -573601114230655274, 0, 1, 1, 2040.815796, -0.000000, 1, 27243, 389574, -0.000011, 0
meat, 0, J, 0, 0, 1, 1, 199207019, 1, 1, 0.618103, 175.050079, 5567, 33, 11, -0.000114, ff
pest, 38091, !, 0, 1, 1, -1466450, -32976, 1, 1, -915.301743, -0.000001, 1309, 771018809, 363458, -0.000015, 1
waste, 18, {, 1, 1, 0, 1148452314804, -3613838, 0, 0, 8.372772, 127.413872, 2, 952, 879, 0.000000, ff
feast, 19, i, 1, 1, 0, 128049504158102162, -23, 1, 0, -0.052376, 0.000000, 35348, 4, 197, -0.000061, 2d
quicksand, 2, L, 0, 0, 0, 90290356439549, 60810410, 1, 1, 744.792847, 1.475050, 250, 11, 0, 1.610012, 3
toad, 4, o, 1, 0, 1, 2864040544116, 9, 1, 1, -0.000015, -0.000001, 7859, 27243, 30740, 0.000034, f
geese, 50, 2, 1, 0, 1, 1079192501111912290, 7, 1, 0, -0.345070, 0.000000, 0, 298532, 99034914, 3423.690693, ff
journey, 3392, l, 1, 1, 1, 0, 6506235, 1, 0, 23.260674, 0.003005, 1, 284625291, 11633, 0.456100, 24
